genes	CpG	condition	clr	panel
Tns1	92.31	DEEP_Sh	1	Sh vs Ct
Tns1	75	DEEP_Sh	1	Sh vs Ct
Tns1	86.67	DEEP_Ct	2	Sh vs Ct
Tns1	95.74	DEEP_Ct	2	Sh vs Ct
Tns1	76.3	Snupe_Ct	2	Sh vs Ct
Tns1	79.2	Snupe_Ct	2	Sh vs Ct
Tns1	76.9	Snupe_Ct	2	Sh vs Ct
Tns1	87	Snupe_Ct	2	Sh vs Ct
Tns1	75.6	Snupe_Ct	2	Sh vs Ct
Tns1	81	Snupe_Ct	2	Sh vs Ct
Tns1	78.9	Snupe_Ct	2	Sh vs Ct
Tns1	78.7	Snupe_Ct	2	Sh vs Ct
Tns1	77.9	Snupe_Ct	2	Sh vs Ct
Tns1	83.5	Snupe_Ct	2	Sh vs Ct
Tns1	80	Snupe_Sh	1	Sh vs Ct
Tns1	83.9	Snupe_Sh	1	Sh vs Ct
Tns1	80	Snupe_Sh	1	Sh vs Ct
Tns1	80.6	Snupe_Sh	1	Sh vs Ct
Tns1	81.8	Snupe_Sh	1	Sh vs Ct
Tns1	83.1	Snupe_Sh	1	Sh vs Ct
Tns1	82.5	Snupe_Sh	1	Sh vs Ct
Tns1	83.1	Snupe_Sh	1	Sh vs Ct
Tns1	80.5	Snupe_Sh	1	Sh vs Ct
Tns1	80.6	Snupe_Sh	1	Sh vs Ct
Tns1	79.3	Snupe_Sh	1	Sh vs Ct
Tns1	82.4	Snupe_Sh	1	Sh vs Ct
Tns1	79.6	Snupe_Sh	1	Sh vs Ct
Tns1	72.73	RRBS_Y	3	Y vs O
Tns1	100	RRBS_Y	3	Y vs O
Tns1	50	RRBS_Y	3	Y vs O
Tns1	84.21	RRBS_Y	3	Y vs O
Tns1	58.62	RRBS_O	4	Y vs O
Tns1	73.08	RRBS_O	4	Y vs O
Tns1	60	RRBS_O	4	Y vs O
Tns1	81.48	RRBS_O	4	Y vs O
Tns1	83.5372442	miseq_Y	3	Y vs O
Tns1	82.0680441	miseq_Y	3	Y vs O
Tns1	80.6970801	miseq_Y	3	Y vs O
Tns1	83.9614541	miseq_Y	3	Y vs O
Tns1	74.9627422	miseq_O	4	Y vs O
